minuto,incomodidad,movimiento,entrega,total
980.0,0.01173611111111029,0.2,0.0,-0.2117361111111103
982.0,0.1950694444444411,0.30000000000000004,0.0,-0.4950694444444411
984.0,0.6006249999999941,0.2,0.0,-0.8006249999999941
986.0,0.0012978395061725141,0.1,0.0,-0.10129783950617252
988.0,0.08098179012345413,0.30000000000000004,0.0,-0.3809817901234542
990.0,0.14128888888888388,0.2,0.0,-0.34128888888888387
992.0,0.5541283950617182,0.30000000000000004,0.0,-0.8541283950617182
994.0,1.3314685185184996,0.30000000000000004,0.0,-1.6314685185184996
996.0,2.8655425925925617,0.2,0.0,-3.065542592592562
998.0,5.2144314814814345,0.2,0.0,-5.414431481481435
1000.0,8.483760185185131,0.30000000000000004,0.0,-8.783760185185132
1002.0,12.790056481481422,0.2,0.0,-12.990056481481421
1004.0,5.7821845679012185,0.2,0.0,-5.982184567901219
1006.0,6.804516975308633,0.2,0.0,-7.004516975308634
1008.0,9.536617283950614,0.30000000000000004,0.0,-9.836617283950615
1010.0,12.857604938271596,0.30000000000000004,0.0,-13.157604938271596
1012.0,15.405625000000036,0.2,0.0,-15.605625000000035
1014.0,7.066736111111152,0.1,0.0,-7.166736111111152
1016.0,8.95006944444449,0.1,0.0,-9.050069444444489
1018.0,9.0,0.1,0.0,-9.1
1020.0,9.001632716049382,0.1,0.0,-9.101632716049382
1022.0,0.0,0.0,0.0,0.0
1024.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
1026.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
1028.0,0.0,0.2,0.0,-0.2
1030.0,0.0,0.2,0.0,-0.2
1032.0,0.0,0.1,0.0,-0.1
1034.0,0.0,0.2,0.0,-0.2
1036.0,0.0,0.2,0.0,-0.2
1038.0,0.0,0.2,0.0,-0.2
1040.0,0.0,0.2,0.0,-0.2
1042.0,0.0,0.2,0.0,-0.2
1044.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
1046.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
1048.0,0.0,0.2,0.0,-0.2
1050.0,0.07304691358024923,0.2,0.0,-0.27304691358024924
1052.0,0.0,0.2,0.0,-0.2
1054.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
1056.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
1058.0,0.0,0.1,0.0,-0.1
1060.0,0.0067604938271606605,0.30000000000000004,0.0,-0.3067604938271607
1062.0,0.09268641975308704,0.2,0.0,-0.29268641975308707
1064.0,0.2773777777777789,0.30000000000000004,0.0,-0.5773777777777789
1066.0,0.13580246913580246,0.2,0.0,-0.3358024691358025
1068.0,0.544876543209876,0.2,0.0,-0.7448765432098761
1070.0,1.3201851851851816,0.2,0.0,-1.5201851851851815
1072.0,2.5360469135802424,0.30000000000000004,0.0,-2.836046913580242
1074.0,0.8263382716049296,0.2,0.0,-1.0263382716049296
1076.0,1.5507827160493717,0.2,0.0,-1.7507827160493716
1078.0,2.5221407407407272,0.30000000000000004,0.0,-2.8221407407407275
1080.0,0.9387456790123515,0.2,0.0,-1.1387456790123516
1082.0,1.418745679012353,0.2,0.0,-1.618745679012353
1084.0,0.07911358024691036,0.2,0.0,-0.27911358024691035
1086.0,0.09525709876543303,0.2,0.0,-0.29525709876543305
1088.0,0.7104077160493866,0.30000000000000004,0.0,-1.0104077160493867
