#{"t_start": 1788351415.8851364, "env_id": "None"}
r,l,t
-3142.09272,90,266.183601
-2416.69785,90,266.58137
-1347.109654,90,267.040194
-1958.46707,90,267.386117
-2351.078125,90,267.602198
-3157.205234,90,267.925033
-1933.935935,90,268.275825
-1894.928886,90,268.677771
-1998.529622,90,269.156844
-2444.636253,90,269.585858
-801.816036,90,270.07944
-2769.512092,90,270.51736
-826.206418,90,270.873403
-2912.880443,90,271.276581
-1277.219329,90,271.62083
-2021.982959,90,272.047826
-2894.330665,90,272.41348
-3122.107474,90,272.746759
-1527.915283,90,273.013414
-2352.84374,90,273.394467
-1002.735387,90,273.749397
-2539.954464,90,274.133915
-901.236174,90,274.501063
-1416.859752,90,276.308594
-2860.65802,90,276.615677
-1320.525119,90,276.93708
-1852.280647,90,277.260309
-2164.143204,90,277.583901
-2839.180652,90,277.89912
-2900.617961,90,278.236175
-1112.742797,90,278.570362
-2184.056257,90,278.981825
-1786.038379,90,279.290747
-2283.881539,90,279.733672
-2752.804705,90,279.959602
-790.875065,90,280.264646
-1801.896624,90,280.575653
-1633.043724,90,280.916229
-2264.281323,90,281.196733
-2214.782586,90,281.539272
-1789.436325,90,281.896534
-2551.371544,90,282.268628
-1680.683968,90,282.735453
-1248.861413,90,283.042448
-1284.010552,90,283.272642
-1936.876906,90,285.102916
-1667.338913,90,285.515981
-3525.111315,90,285.883611
-1686.816293,90,286.252449
-2314.96144,90,286.481529
-1020.842229,90,286.79409
-3312.649765,90,287.14948
-3586.034584,90,287.566904
-2970.573212,90,287.891429
-3348.542292,90,288.292042
-1527.551519,90,288.552716
-3631.382446,90,289.026827
-1063.915063,90,289.341179
-3598.684946,90,289.648523
-1195.702271,90,289.931688
-2338.971972,90,290.347478
-2954.956481,90,290.66423
-2306.217671,90,291.031879
-2975.704108,90,291.459779
-4383.735284,90,291.798799
-1397.573279,90,292.07598
-4336.848045,90,292.431606
-2627.338107,90,292.762008
-2129.474794,90,294.786473
-2136.854093,90,295.179854
-2251.50885,90,295.620268
-1724.916413,90,295.957516
-4066.877949,90,296.481199
-3032.943106,90,296.829885
-2443.70755,90,297.154032
-2281.967413,90,297.515979
-2498.705058,90,297.884511
-2545.636205,90,298.231416
-2194.224739,90,298.638142
-690.447514,90,299.010279
-2489.550332,90,299.516465
-2479.852794,90,299.95382
-5032.050837,90,300.401697
-2736.867156,90,300.707282
-2290.000634,90,301.037852
-1922.649411,90,301.371328
-3447.231255,90,301.754331
-1773.52967,90,302.113664
-1870.454299,90,302.417543
-2984.630396,90,302.915498
-1687.847505,90,303.411065
-1414.473829,90,305.239607
-1745.833081,90,305.589377
-3007.143812,90,305.976543
-1362.252481,90,306.293694
-1842.38976,90,306.631234
-1705.38261,90,306.990461
-2215.495858,90,307.263176
-3473.489574,90,307.630977
-4075.959493,90,307.935133
-5566.424492,90,308.325297
-1652.695406,90,308.67574
-1470.022441,90,309.003118
-2574.510057,90,309.296986
-2394.836915,90,309.799358
-2260.539645,90,310.176038
-2690.642745,90,310.539461
-2496.033844,90,310.874623
-2525.898277,90,311.24393
-1687.031991,90,311.618221
-3251.6123,90,312.058903
-615.380833,90,312.412598
-1877.740824,90,312.73649
-3077.290174,90,313.080942
-1563.076259,90,315.136092
-2848.581519,90,315.606713
-2631.81447,90,316.019178
-4982.785149,90,316.434119
-3011.960723,90,316.7898
-1691.038878,90,317.150801
-2340.240725,90,317.48098
-3446.497914,90,317.881651
-5469.151753,90,318.329806
-2483.675809,90,318.703577
-1413.167806,90,319.045823
-1390.801657,90,319.49054
-1563.651958,90,319.9041
-1988.597395,90,320.306987
-2772.22124,90,320.629296
-2567.833783,90,321.01392
-1591.57029,90,321.350446
-1603.395289,90,321.602253
-3467.367281,90,321.913784
-2814.861334,90,322.221237
-3021.062955,90,322.488796
-1542.479049,90,322.758484
-1745.24604,90,324.921211
-2410.39705,90,325.241873
-3790.11556,90,325.561724
-2193.744469,90,325.856703
-2990.674621,90,326.156811
-2251.730762,90,326.391693
-3958.582026,90,326.710618
-3635.131722,90,327.114208
-613.187111,90,327.397228
-1375.99522,90,327.693467
-2032.776354,90,328.044922
-4056.319426,90,328.361849
-1674.809444,90,328.686729
-675.243113,90,328.932482
-2075.550906,90,329.211094
-805.637843,90,329.536079
-1376.625333,90,329.804893
-1570.865992,90,330.253224
-2474.831868,90,330.69434
-4149.914494,90,331.055035
-1380.773525,90,331.357495
-2043.635535,90,331.663404
-2097.054601,90,331.972754
-1524.978635,90,333.810475
-1974.205486,90,334.156813
-795.918351,90,334.517829
-2881.293185,90,334.926273
-813.771565,90,335.330036
-916.64346,90,335.597425
-2954.052191,90,335.959512
-2929.60034,90,336.242743
-2181.263294,90,336.600871
-2389.12975,90,336.88365
-1569.842083,90,337.127265
-2122.051256,90,337.425223
-3013.759538,90,337.795434
-2410.208747,90,338.148716
-1069.765615,90,338.417845
-1391.736842,90,338.786751
-2038.990846,90,339.197235
-2221.029855,90,339.462356
-2029.719655,90,339.870966
-3181.269322,90,340.21658
-2760.832643,90,340.544349
-1872.865082,90,340.859258
-2116.617646,90,341.16867
-2957.73601,90,343.028577
-2981.490706,90,343.41008
-1484.925179,90,343.635706
-1873.321008,90,343.975421
-1097.604172,90,344.292177
-1134.94846,90,344.619659
-1882.563581,90,344.956023
-2508.057606,90,345.295984
-419.48536,90,345.553775
-3686.947383,90,345.980378
-2819.885114,90,346.350904
-3132.12307,90,346.759662
-1249.424199,90,347.059095
-2689.446934,90,347.365799
-1870.037542,90,347.774966
-3120.585069,90,348.123439
-3056.740015,90,348.596157
-3431.170511,90,348.973866
-3188.009929,90,349.446316
-3118.874893,90,349.772546
-4507.281747,90,350.228733
-1869.014352,90,350.54259
-951.539689,90,350.909127
-1210.203117,90,352.840427
-2516.152991,90,353.302797
